s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
90.9079988, 89629.2521373, 43156.6242428, -2.7826552, -0.0374959, 10.6407109, 2.9279052
91.9069878, 89629.5860111, 43155.6848652, -2.8163456, -0.0302509, 10.9121317, 3.1497312
92.9059768, 89629.8918457, 43154.7343593, -2.8430960, -0.0233601, 11.1967724, 3.2308335
93.9049658, 89630.1759842, 43153.7749801, -2.8630904, -0.0166318, 11.4814130, 3.7069074
94.9039548, 89630.4438370, 43152.8120375, -2.8763655, -0.0098913, 11.7995409, 4.0376384
95.9029438, 89630.7019888, 43151.8471271, -2.8828562, -0.0031089, 12.1365678, 4.1513405
96.9019328, 89630.9572499, 43150.8810101, -2.8825810, 0.0036574, 12.4735947, 0.8517277
97.9009218, 89631.2161331, 43149.9153648, -2.8757262, 0.0097432, 12.5416226, -2.0460076
98.8999108, 89631.4843690, 43148.9523675, -2.8632225, 0.0152830, 12.3775773, -2.0190695
99.8988998, 89631.7669893, 43147.9945726, -2.8451663, 0.0208933, 12.2135320, -3.3140956
100.8978888, 89632.0694589, 43147.0431935, -2.8213202, 0.0272827, 11.9393833, -4.8927230
101.8968778, 89632.3978613, 43146.1001692, -2.7904347, 0.0345593, 11.5227306, -4.7189479
102.8958668, 89632.7585679, 43145.1690946, -2.7523589, 0.0416547, 11.1060779, -4.6673198
103.8948558, 89633.1582353, 43144.2525287, -2.7073731, 0.0480209, 10.6780037, -4.7076663
104.8938448, 89633.6018719, 43143.3553956, -2.6563015, 0.0541792, 10.2280961, -4.5050446
105.8928338, 89634.0926816, 43142.4851137, -2.5986964, 0.0612768, 9.7781885, -4.5839301
106.8918228, 89634.6320988, 43141.6520117, -2.5339026, 0.0698126, 9.2980847, -5.1620775
107.8908118, 89635.2227471, 43140.8645651, -2.4608471, 0.0778953, 8.7258617, -4.8343069
108.8898008, 89635.8799877, 43140.1157209, -2.3810871, 0.0813052, 8.1536386, -4.2086043
109.8887898, 89636.6121405, 43139.4072815, -2.2986722, 0.0796351, 7.6205724, -1.8865685
110.8877788, 89637.3920185, 43138.7666263, -2.2178917, 0.0821986, 7.3691113, -1.8232718
111.8867678, 89638.2246129, 43138.1924956, -2.1287395, 0.0961692, 7.1176502, -1.7599751
112.8857567, 89639.0835178, 43137.7157886, -2.0214482, 0.1255540, 6.8661891, -1.3788055
113.8847457, 89640.0818979, 43137.3195972, -1.8710695, 0.1541432, 6.6625618, -1.2834800
114.8837347, 89641.0615541, 43137.1047640, -1.6936961, 0.2059937, 6.4672533, -1.2104255
115.8827237, 89641.9770232, 43137.0906629, -1.4634558, 0.2980447, 6.2774965, -0.9028712
116.8817127, 89642.9403336, 43137.3419837, -1.1763476, 0.2473409, 6.1321322, -0.8817190
117.8807017, 89643.8121712, 43137.8105821, -1.0037452, 0.0993406, 5.9867679, 0.2853050
118.8796907, 89644.6452370, 43138.3963857, -0.9109962, 0.0979329, 6.0341879, 0.3815464
119.8786797, 89645.3991761, 43139.0509702, -0.7920005, 0.1510753, 6.0970275, 1.1037017
120.8776687, 89646.0191237, 43139.7886516, -0.5824835, 0.2849284, 6.2752622, 1.4751880
121.8766577, 89646.4352333, 43140.6745402, -0.3030513, 0.2448867, 6.5058673, 2.2575688
122.8756467, 89646.6300245, 43141.6033974, -0.1283218, 0.1351976, 6.8437477, 2.7688330
123.8746357, 89646.6990748, 43142.5849236, -0.0186050, 0.0949656, 7.2366394, 2.9233531
124.8736247, 89646.6674610, 43143.6626829, 0.0748851, 0.0815427, 7.6295311, 2.4775510
125.8726137, 89646.5529843, 43144.6602842, 0.1517195, 0.0712081, 7.9473164, 2.4776066
126.8716027, 89646.3670731, 43145.6466708, 0.2199286, 0.0655991, 8.2528807, 2.5710707
127.8705917, 89646.1157583, 43146.6202017, 0.2852669, 0.0651912, 8.5584451, 2.6479281
128.8695807, 89645.7990773, 43147.5812327, 0.3506909, 0.0616837, 8.8621377, 2.7307329
129.8685697, 89645.4264724, 43148.5134422, 0.4083073, 0.0527379, 9.1647929, 2.8224258
130.8675587, 89645.0118514, 43149.4110914, 0.4553554, 0.0421706, 9.4674481, 3.1255731
131.8665477, 89644.5576347, 43150.2951605, 0.4926779, 0.0348367, 9.7917006, 3.4202664
132.8655367, 89644.0699488, 43151.1682457, 0.5254100, 0.0305090, 10.1346444, 3.5379959
133.8645257, 89643.5580662, 43152.0225572, 0.5534062, 0.0256336, 10.4775882, 3.8852067
134.8635147, 89643.0243332, 43152.8638433, 0.5765359, 0.0210860, 10.8416979, 4.2340179
135.8625037, 89642.4718726, 43153.6954187, 0.5956037, 0.0171181, 11.2250562, 4.3811302
136.8614927, 89641.9045227, 43154.5185092, 0.6107482, 0.0131876, 11.6084146, 4.6107801
137.8604817, 89641.3267111, 43155.3334852, 0.6222605, 0.0103940, 11.9986469, 4.8430584
138.8594707, 89640.7408031, 43156.1418910, 0.6317624, 0.0086415, 12.3953157, 5.0005638
139.8584597, 89640.1472559, 43156.9461328, 0.6395273, 0.0068969, 12.7919845, 5.0070221
140.8574487, 89639.5484956, 43157.7457754, 0.6457897, 0.0061242, 13.1772071, 4.9994198
141.8564377, 89638.9451804, 43158.5412461, 0.6520023, 0.0063209, 13.5509231, 5.1392248
142.8554267, 89638.3361318, 43159.3338315, 0.6584186, 0.0065172, 13.9246392, 5.0142141
143.8544157, 89637.7223236, 43160.1219161, 0.6650990, 0.0070219, 14.2798412, 4.8349879
144.8534047, 89637.1034845, 43160.9050461, 0.6725302, 0.0078663, 14.6141734, 4.9468790
145.8523937, 89636.4775900, 43161.6844380, 0.6808101, 0.0086976, 14.9485056, 4.8246079
146.8513827, 89635.8451173, 43162.4581457, 0.6899297, 0.0096032, 15.2675237, 4.6096270
147.8503717, 89635.2058802, 43163.2249877, 0.7000287, 0.0106298, 15.5662203, 4.6989370
148.8493607, 89634.5577320, 43163.9859411, 0.7111720, 0.0116682, 15.8649169, 4.6146385
149.8483497, 89633.9014507, 43164.7385285, 0.7231493, 0.0116609, 16.1528800, 4.4038365
150.8473387, 89633.2377671, 43165.4821419, 0.7338755, 0.0098545, 16.4229809, 4.4768648
151.8463277, 89632.5648719, 43166.2213170, 0.7428063, 0.0080119, 16.6930818, 1.5318785
152.8453167, 89631.8834326, 43166.9579503, 0.7497187, 0.0048754, 16.7845059, -5.2413852
153.8443057, 89631.1976359, 43167.6923803, 0.7516206, -0.0010859, 16.4695922, -5.1421142
154.8432947, 89630.5161645, 43168.4237844, 0.7474989, -0.0072394, 16.1546784, -6.4783126
