s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
91.7953812, 89629.7311406, 43155.2484230, -2.8329888, -0.0288293, 11.6255738, 4.1210006
92.7931570, 89630.0217652, 43154.2932687, -2.8583089, -0.0219252, 11.9740401, 4.2139153
93.7909329, 89630.2918298, 43153.3303858, -2.8768529, -0.0151155, 12.3201754, 4.0569162
94.7887088, 89630.5466679, 43152.3663852, -2.8882102, -0.0076731, 12.6444655, 4.1623147
95.7864847, 89630.7943173, 43151.3996853, -2.8921699, -0.0002684, 12.9687556, 4.2677132
96.7842606, 89631.0418243, 43150.4324610, -2.8887498, 0.0071184, 13.2930458, -1.1800297
97.7820365, 89631.2962587, 43149.4662470, -2.8783815, 0.0136322, 13.2041757, -1.2610582
98.7798123, 89631.5635679, 43148.5045279, -2.8614957, 0.0202211, 13.1085372, -1.2518911
99.7775882, 89631.8496874, 43147.5501809, -2.8380161, 0.0269350, 13.0128988, -5.7005525
100.7753641, 89632.1619491, 43146.6022328, -2.8075192, 0.0342366, 12.5682054, -6.1136011
101.7731400, 89632.5060798, 43145.6663494, -2.7697324, 0.0415195, 12.0731015, -5.8679268
102.7709159, 89632.8887313, 43144.7452764, -2.7247983, 0.0485024, 11.5779976, -5.4443624
103.7686918, 89633.3159800, 43143.8423449, -2.6736538, 0.0536078, 11.0988973, -5.1656785
104.7664676, 89633.7911405, 43142.9633945, -2.6174233, 0.0590897, 10.6243655, -4.9399961
105.7642435, 89634.3158992, 43142.1163366, -2.5554164, 0.0655061, 10.1498337, -5.2172792
106.7620194, 89634.8881650, 43141.3140460, -2.4875158, 0.0719082, 9.6232933, -5.1632078
107.7597953, 89635.5162396, 43140.5533380, -2.4148455, 0.0746815, 9.0721731, -4.8587973
108.7575712, 89636.2120002, 43139.8274751, -2.3401360, 0.0732062, 8.5210530, -4.0896490
109.7553470, 89636.9661080, 43139.1489257, -2.2668598, 0.0735327, 8.0279037, -3.4845276
110.7531229, 89637.7688022, 43138.5295348, -2.1871433, 0.0854397, 7.5824588, -3.2856642
111.7508988, 89638.6109520, 43137.9895663, -2.0906707, 0.1100269, 7.1370140, -2.4653882
112.7486747, 89639.5162290, 43137.5435318, -1.9601861, 0.1442707, 6.7835949, -0.8046218
113.7464506, 89640.5255342, 43137.2218314, -1.7930924, 0.1753291, 6.6641950, -0.7903337
114.7442265, 89641.4726061, 43137.0979325, -1.5983430, 0.2408921, 6.5447951, -0.7848154
115.7420023, 89642.4228163, 43137.1967021, -1.3264939, 0.2962715, 6.4240332, -0.7773053
116.7397782, 89643.3317360, 43137.5552700, -1.0829323, 0.1812683, 6.3021465, -0.4938138
117.7375541, 89644.1839451, 43138.0820731, -0.9688774, 0.0847307, 6.2234732, -0.0466699
118.7353300, 89644.9955168, 43138.6960749, -0.8732089, 0.1094928, 6.2159864, 0.3285663
119.7331059, 89645.7007435, 43139.3674964, -0.7328832, 0.1992959, 6.2685052, 2.6519003
120.7308818, 89646.2521809, 43140.1475969, -0.4826554, 0.2891206, 6.6772870, 2.7603651
121.7286576, 89646.6012117, 43141.1067859, -0.2350701, 0.1793168, 7.0777549, 2.2865433
122.7264335, 89646.7520106, 43142.0054358, -0.1070360, 0.1143671, 7.3930731, 2.3861905
123.7242094, 89646.8066368, 43143.0298542, -0.0031064, 0.0928841, 7.7083913, 2.4326391
124.7219853, 89646.7581880, 43144.0951030, 0.0933616, 0.0872601, 8.0170913, 2.3374776
125.7197612, 89646.6243168, 43145.0817463, 0.1746766, 0.0770985, 8.3029098, 2.4193519
