# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
318.4844993, 89664.0694403, 43147.4968600, 1.8279458, 0.0637806, 10.3758897, -5.4392491
320.4750274, 89662.1871128, 43146.8638071, 1.9700271, 0.0874659, 9.2738952, -1.5158113
322.4655556, 89660.3906813, 43145.8711519, 2.1932536, 0.1258660, 8.9426283, -0.3218800
324.4560837, 89659.0205904, 43144.5827384, 2.4749302, 0.1683606, 8.8706921, 0.9791634
326.4466118, 89658.0301705, 43142.9216089, 2.6991091, 0.0773050, 9.0877546, 2.3522845
328.4371399, 89657.2921706, 43141.0082547, 2.8460876, 0.0699232, 9.5891533, 2.6659561
330.4276680, 89656.8353275, 43139.0834423, 2.9655158, 0.0530495, 10.1274469, 3.3972867
332.4181962, 89656.5818599, 43137.0953681, 3.0578087, 0.0344026, 10.7745056, 4.1612528
334.4087243, 89656.4654239, 43135.1079252, 3.0994118, 0.0074703, 11.5176453, 0.6501681
336.3992524, 89656.3797324, 43133.1063499, 3.0900070, -0.0172425, 11.6294672, 0.3111758
338.3897805, 89656.2237115, 43131.1056526, 3.0298089, -0.0399905, 11.6826074, -8.7271899
340.3803086, 89655.9151991, 43129.1698887, 2.9287513, -0.0664378, 10.0866190, -5.6470548
