s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
269.3100803, 89662.4263586, 43163.0988172, -0.4642453, 0.0617049, 7.1223520, 5.0622130
270.3075251, 89662.8657231, 43164.0142299, -0.4427326, -0.0108159, 7.7991316, 5.0148760
271.3049698, 89663.3427124, 43164.9806056, -0.4842631, -0.0671032, 8.4160904, -5.0789987
272.3024145, 89663.9069940, 43165.9630939, -0.5524031, -0.0432905, 7.7909265, -9.4457689
273.2998593, 89664.4614999, 43166.8308517, -0.5776565, -0.0002246, 6.4695650, -9.5488626
274.2973040, 89664.9185731, 43167.5515000, -0.5337035, 0.1121636, 4.7755990, -0.1059143
275.2947488, 89665.4231313, 43168.3382093, -0.7314551, -0.5310896, 4.7534259, -0.1059143
276.2921935, 89666.1833276, 43168.9282743, -1.0191660, -0.1307198, 4.7311490, 5.1950761
277.2896382, 89667.0676930, 43169.4091499, -1.1202426, -0.0903810, 5.7225321, 5.1464967
278.2870830, 89668.0513714, 43169.8224137, -1.2344089, -0.1403681, 6.5585109, 5.0983716
279.2845277, 89669.0828924, 43170.0737300, -1.4440146, -0.2210052, 7.2927878, -0.0034089
280.2819725, 89670.0465529, 43170.1042823, -1.6140382, -0.0980527, 7.2923215, 5.0507283
281.2794172, 89670.9640270, 43170.0489140, -1.6346792, -0.0350311, 7.9532130, 0.7356741
282.2768620, 89671.8968072, 43169.9518521, -1.7336066, -0.1587298, 8.0449479, -0.3005699
283.2743067, 89672.9301603, 43169.6798612, -1.9276085, -0.1871445, 8.0075953, -0.3005699
284.2717514, 89673.8178642, 43169.2639060, -2.0769834, -0.1158833, 7.9700677, 4.3411050
285.2691962, 89674.6795779, 43168.7256740, -2.1761785, -0.0854488, 8.4959993, 4.9616469
286.2666409, 89675.4998666, 43168.1047839, -2.2608381, -0.0831567, 9.0597980, 4.7897493
287.2640857, 89676.2642526, 43167.4124787, -2.3561326, -0.1015843, 9.5726152, 2.2617843
288.2615304, 89676.9416740, 43166.6594067, -2.4623743, -0.1039887, 9.8054562, 1.5511108
289.2589751, 89677.5098294, 43165.8833026, -2.5532317, -0.0808694, 9.9619910, 3.5092254
290.2564199, 89678.0111771, 43165.0740334, -2.6187005, -0.0687006, 10.3073654, 4.2031180
291.2538646, 89678.4664958, 43164.2159692, -2.6902082, -0.0775374, 10.7063784, 2.5748447
292.2513094, 89678.8726851, 43163.2844094, -2.7711688, -0.0807762, 10.9436314, 1.7646008
293.2487541, 89679.2049070, 43162.3122481, -2.8521453, -0.0736858, 11.1032992, 2.2588496
294.2461989, 89679.4589292, 43161.3305746, -2.9240336, -0.0701739, 11.3043977, -2.8858139
295.2436436, 89679.6406632, 43160.3386508, -2.9982727, -0.0793740, 11.0468334, -0.5667280
296.2410883, 89679.7400268, 43159.3520903, -3.0881537, -0.0992540, 10.9955431, -0.5667280
297.2385331, 89679.7434561, 43158.2926178, 3.0978840, -0.0806954, 10.9440125, -1.2119867
298.2359778, 89679.6683515, 43157.3267934, 3.0362212, -0.0425779, 10.8329880, -7.4622477
299.2334226, 89679.5563387, 43156.3837047, 3.0122516, -0.0372004, 10.1226118, -2.4509393
300.2308673, 89679.4011864, 43155.4158288, 2.9421720, -0.1025484, 9.8781535, -0.4959418
301.2283121, 89679.1461238, 43154.4455298, 2.8232903, -0.1237912, 9.8279483, -0.4603838
302.2257568, 89678.7991058, 43153.5643181, 2.7106696, -0.1167831, 9.7811120, -0.9057164
303.2232015, 89678.3218814, 43152.6710997, 2.5900900, -0.1228836, 9.6883099, -0.4359082
304.2206463, 89677.7265351, 43151.8316367, 2.4578009, -0.1290409, 9.6433272, -0.4359082
305.2180910, 89677.0556976, 43151.1055054, 2.3351953, -0.1200087, 9.5981337, 0.5124646
